average_song_duration_in_minitues,average_song_valience,month,year
3.5394053125,0.5174399999999998,2018-05,2018
3.486155916666667,0.5169625,2018-06,2018
3.4487794791666664,0.49643,2018-07,2018
3.43757725,0.4732295000000002,2018-08,2018
3.4217847916666666,0.44224625,2018-09,2018
3.2829440251572333,0.4559528301886792,2018-10,2018
3.3256552763819096,0.4412814070351757,2018-11,2018
3.585636770833333,0.54099,2018-12,2018
3.331588229166667,0.4483512499999997,2019-01,2019
3.193900833333333,0.4520024999999997,2019-02,2019
3.2213928087986465,0.49279492385786755,2019-03,2019
3.1181821581196583,0.5100897435897433,2019-04,2019
3.2109218013468013,0.5172121212121208,2019-05,2019
3.3171443736730364,0.5348197452229297,2019-06,2019
3.394274947589098,0.5221874213836478,2019-07,2019
3.4218919217687076,0.5435040816326531,2019-08,2019
