average_song_duration_in_minitues, date
3.2233333333333336, 2012-04-27
3.2233333333333336, 2012-05-04
3.2811166666666667, 2012-05-11
3.5886, 2012-05-18
3.5886, 2012-05-25
2.89045, 2012-06-01
3.5128833333333334, 2012-06-08
4.590450000000001, 2012-06-15
3.466266666666667, 2012-06-22
3.1580999999999997, 2012-06-29
4.872883333333333, 2012-07-06
3.1580999999999997, 2012-07-13
3.6365, 2012-07-20
3.6365, 2012-07-27
3.6365, 2012-08-03
3.4561, 2012-08-10
3.4561, 2012-08-17
4.120216666666667, 2012-08-24
2.9005666666666667, 2012-08-31
3.6622166666666667, 2012-09-07
4.193783333333333, 2012-09-14
3.3367500000000003, 2012-09-21
3.3367500000000003, 2012-09-28
3.6582166666666667, 2012-10-05
3.75245, 2012-10-12
3.5477, 2012-10-19
3.542666666666667, 2012-10-26
4.794883333333333, 2012-11-02
3.3508833333333334, 2012-11-09
3.3508833333333334, 2012-11-16
3.6606666666666663, 2012-11-23
3.0866666666666664, 2012-11-30
3.0866666666666664, 2012-12-07
4.086, 2012-12-14
3.490666666666667, 2012-12-21
4.5917666666666666, 2012-12-28
3.490666666666667, 2013-01-04
3.490666666666667, 2013-01-11
4.872883333333333, 2013-01-18
4.872883333333333, 2013-01-25
2.752733333333333, 2013-02-01
2.752733333333333, 2013-02-08
3.9268833333333335, 2013-02-15
3.472, 2013-02-22
2.62155, 2013-03-01
8.069116666666666, 2013-03-08
8.069116666666666, 2013-03-15
8.069116666666666, 2013-03-22
3.4240333333333335, 2013-03-29
4.00955, 2013-04-05
3.4386666666666668, 2013-04-12
3.4386666666666668, 2013-04-19
3.5128833333333334, 2013-04-26
3.840883333333333, 2013-05-03
3.840883333333333, 2013-05-10
3.840883333333333, 2013-05-17
3.840883333333333, 2013-05-24
3.3110833333333334, 2013-05-31
4.397116666666666, 2013-06-07
4.397116666666666, 2013-06-14
4.397116666666666, 2013-06-21
4.397116666666666, 2013-06-28
2.6192166666666665, 2013-07-05
3.9982333333333333, 2013-07-12
4.397116666666666, 2013-07-19
4.123783333333333, 2013-07-26
4.123783333333333, 2013-08-02
4.123783333333333, 2013-08-09
3.854, 2013-08-16
3.853533333333333, 2013-08-23
3.853533333333333, 2013-08-30
3.853533333333333, 2013-09-06
3.7257666666666664, 2013-09-13
3.7257666666666664, 2013-09-20
2.85625, 2013-09-27
2.85625, 2013-10-04
4.297333333333333, 2013-10-11
3.6893333333333334, 2013-10-18
4.297333333333333, 2013-10-25
3.16975, 2013-11-01
3.5133333333333336, 2013-11-08
2.47315, 2013-11-15
5.070483333333333, 2013-11-22
3.4750666666666663, 2013-11-29
3.0713333333333335, 2013-12-06
